Project ID,Voluntary Registry,Voluntary Status,Scope,Type,Country,"Total Credits 
Issued",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR462,ACR,Registered,Chemical Processes,Reduction,United States,60655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60655,-1,-59019,0
ACR463,ACR,Registered,Chemical Processes,Reduction,United States,63778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,-1,-742,0
ACR464,ACR,Registered,Chemical Processes,Reduction,United States,66273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57589,0,-55801,0
ACR465,ACR,Registered,Chemical Processes,Reduction,United States,67092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67092,-26448,-38834,0
ACR466,ACR,Registered,Chemical Processes,Reduction,United States,68943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68943,-67083,0,0
ACR479,ACR,Completed,Chemical Processes,Reduction,United States,199624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199624,0
ACR480,ACR,Completed,Chemical Processes,Reduction,United States,324357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324357,0
ACR481,ACR,Completed,Chemical Processes,Reduction,United States,371461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371461,0
ACR483,ACR,Registered,Forestry & Land Use,Mixed,United States,104470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34662,69808,-34662
ACR485,ACR,Registered,Chemical Processes,Reduction,United States,125302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125302,0,0
ACR486,ACR,Registered,Chemical Processes,Reduction,United States,119102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119102,0,0
ACR487,ACR,Registered,Chemical Processes,Reduction,United States,66579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66579,0,0
ACR491,ACR,Registered,Chemical Processes,Reduction,Canada,25094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25094,-24819,0
ACR494,ACR,Listed,Renewable Energy,Reduction,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR499,ACR,Registered,Forestry & Land Use,Mixed,United States,469976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39652,11677,123535
ACR501,ACR,Registered,Chemical Processes,Reduction,Canada,22304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22304,-22304,0
ACR502,ACR,Registered,Chemical Processes,Reduction,Canada,26208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26208,-26208,0
ACR505,ACR,Registered,Forestry & Land Use,Mixed,United States,49066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49066
ACR506,ACR,Registered,Forestry & Land Use,Mixed,United States,380315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380315,-6288
ACR507,ACR,Registered,Forestry & Land Use,Mixed,United States,112088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55933,56155,0
ACR508,ACR,Registered,Forestry & Land Use,Mixed,United States,99425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99425
ACR509,ACR,Registered,Forestry & Land Use,Mixed,United States,143282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143282
ACR512,ACR,Listed,Industrial Manufacturing,Reduction,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR514,ACR,Registered,Chemical Processes,Reduction,United States,55566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50440,-3842,0
ACR515,ACR,Registered,Chemical Processes,Reduction,United States,121764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121764,-8972,-835
ACR516,ACR,Registered,Chemical Processes,Reduction,United States,130336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130336,0,0
ACR518,ACR,Registered,Forestry & Land Use,Mixed,United States,99726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49800,-16554,-3174
ACR519,ACR,Registered,Forestry & Land Use,Mixed,United States,115131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51756,61575
ACR525,ACR,Listed,Chemical Processes,Reduction,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
