Project ID,Registry,Voluntary_Status,Scope,Type,Country,Total_Credits,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR590,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,41175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41175
ACR591,ACR,Completed,Chemical_Processes,Reduction,United States of America,57243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57243
ACR592,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
ACR595,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
ACR596,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,31840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31840
ACR597,ACR,Completed,Chemical_Processes,Reduction,United States of America,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,2409
ACR598,ACR,Completed,Chemical_Processes,Reduction,United States of America,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7110
ACR606,ACR,Completed,Chemical_Processes,Reduction,United States of America,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4697
ACR620,ACR,Completed,Chemical_Processes,Reduction,United States of America,52294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52294
ACR621,ACR,Completed,Chemical_Processes,Reduction,United States of America,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
ACR622,ACR,Completed,Chemical_Processes,Reduction,United States of America,115403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,90403
ACR629,ACR,Completed,Chemical_Processes,Reduction,United States of America,37969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37969
ACR634,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,16116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16116
ACR637,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,9466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9466
ACR646,ACR,Completed,Chemical_Processes,Reduction,United States of America,31077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31077
ACR670,ACR,Completed,Chemical_Processes,Reduction,United States of America,9480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9480
ACR678,ACR,Completed,Chemical_Processes,Reduction,United States of America,6190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6190
ACR736,ACR,Completed,Chemical_Processes,Reduction,United States of America,8692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8692
